Date,Open,High,Low,Close,Volume
2010-02-11,0.19414444944831918,0.20751443547571086,0.1935222341221065,0.2063959836959839,6912000
2010-02-12,0.20077980764031847,0.20902988036671774,0.19961172660035825,0.2072405368089676,17203200
2010-02-16,0.2121123119641219,0.21576542852592617,0.20878174335964927,0.21526823937892914,19238400
2010-02-17,0.21815127170464155,0.21897102317130926,0.2148703176377325,0.21892140805721283,38361600
2010-02-18,0.21869805661454253,0.22438864909157433,0.21738014912773973,0.22307169437408447,77721600
2010-02-19,0.2215552838001265,0.22597950365587957,0.2198661375717754,0.22307169437408447,92966400
2010-02-22,0.22570559103539825,0.22570559103539825,0.21899579174112746,0.22150564193725586,50995200
2010-02-23,0.22028798654233037,0.22148088239236208,0.209925054023521,0.2128576785326004,82252800
2010-02-24,0.21661004125087963,0.221804383800252,0.21544196014072914,0.21929453313350677,70617600
2010-02-25,0.2122860381036581,0.22066112343914523,0.20803645876746038,0.2191695272922516,91238400
2010-02-26,0.2185234240220569,0.22282358495024557,0.2163619032155382,0.22190362215042114,57600000
2010-03-01,0.22471219234443363,0.2323667704095021,0.22471219234443363,0.23142200708389282,28454400
2010-03-02,0.2334594802602307,0.2378340715516576,0.23219214042828076,0.23281340301036835,48422400
2010-03-03,0.23542343585805897,0.23746089758369593,0.23184474881861547,0.23410648107528687,47961600
2010-03-04,0.2349262758619563,0.23701336730256747,0.23127315837395504,0.23669081926345825,29452800
2010-03-05,0.24173533774795722,0.24824662131000852,0.2404431832362067,0.24715298414230347,26880000
2010-03-08,0.2473771923436891,0.250260186930399,0.2473771923436891,0.24847085773944855,25344000
2010-03-09,0.24710337679101496,0.25674580303874406,0.2469048878701902,0.2528693675994873,46425600
2010-03-10,0.25321765303349064,0.26059834564402984,0.25304302603403506,0.2590571343898773,40089600
2010-03-11,0.2574920059888946,0.26181601415919187,0.2557770782113922,0.2614428699016571,53913600
2010-03-12,0.2643259261702221,0.2643259261702221,0.2590323389505174,0.2620393931865692,36134400
