Scenario,CAGR_%,Max_DD_%,End_Equity,Stops
0. Base (asym SL -2/-3),28.7,-24.7,4388.52,655
A1. MA_short=10,28.5,-28.5,4261.35,667
A1. MA_short=15,28.6,-28.3,4338.66,657
A1. MA_short=20 *,28.7,-24.7,4388.52,655
A1. MA_short=30,29.7,-26.9,4887.24,645
A2. MA_long=150,26.2,-28.3,3573.52,644
A2. MA_long=200,28.4,-26.7,4456.77,661
A2. MA_long=250 *,28.7,-24.7,4388.52,655
A2. MA_long=300,27.2,-38.6,3494.96,666
B. Whipsaw=1,27.7,-33.1,3891.51,665
B. Whipsaw=2 *,28.7,-24.7,4388.52,655
B. Whipsaw=3,27.9,-29.3,3989.25,651
C1. L1_accel=50,20.7,-24.6,1678.27,529
C1. L1_accel=60,23.7,-24.2,2402.31,579
C1. L1_accel=70,25.3,-25.0,2938.38,615
C1. L1_accel=80 *,28.7,-24.7,4388.52,655
C1. L1_accel=90,31.6,-26.6,6076.89,704
C1. L1_accel=100,34.5,-29.8,8431.7,733
C2. L1_decel=30,25.0,-26.1,2835.16,505
C2. L1_decel=40,26.2,-26.4,3266.65,558
C2. L1_decel=50,26.5,-25.2,3358.58,614
C2. L1_decel=60 *,28.7,-24.7,4388.52,655
D. L2_normal=15 ext=25,24.7,-25.5,2721.01,532
D. L2_normal=20 ext=30,25.6,-24.4,3052.78,553
D. L2_normal=25 ext=35,26.2,-24.3,3268.07,576
D. L2_normal=30 ext=40,26.8,-25.7,3501.61,602
D. L2_normal=40 ext=50 *,28.7,-24.7,4388.52,655
E1. L2/L3_boundary=-2.0,27.8,-24.7,3928.83,634
E1. L2/L3_boundary=-3.0 *,28.7,-24.7,4388.52,655
E1. L2/L3_boundary=-4.0,29.6,-24.7,4874.95,662
E1. L2/L3_boundary=-5.0,30.7,-24.7,5516.42,665
E1. L2/L3_boundary=-6.0,30.7,-24.7,5509.78,667
E2. L1_trim=3.0,28.3,-26.3,4160.28,638
E2. L1_trim=4.0,28.7,-26.5,4363.68,651
E2. L1_trim=5.0 *,28.7,-24.7,4388.52,655
E2. L1_trim=7.0,29.0,-24.7,4513.29,655
E2. L1_trim=10.0,29.0,-24.7,4513.29,655
F1. TrendHealth=0.5,28.1,-28.0,4064.82,642
F1. TrendHealth=0.65,28.1,-26.0,4082.69,649
F1. TrendHealth=0.75 *,28.7,-24.7,4388.52,655
F1. TrendHealth=0.85,29.1,-24.7,4567.2,667
F1. TrendHealth=1.0,29.6,-27.2,4870.07,672
F2. Momentum=1.0,28.8,-26.9,4398.89,652
F2. Momentum=1.15,28.4,-25.6,4244.0,655
F2. Momentum=1.25 *,28.7,-24.7,4388.52,655
F2. Momentum=1.4,29.0,-24.5,4511.34,656
F2. Momentum=1.5,29.1,-24.5,4601.79,656
G. Scale=0.4,8.2,-17.2,323.45,80
G. Scale=0.5,10.6,-20.2,448.99,162
G. Scale=0.6,13.2,-21.3,639.46,272
G. Scale=0.7,17.9,-23.3,1171.25,349
G. Scale=0.8,19.5,-26.7,1445.39,461
G. Scale=0.9,24.0,-25.0,2510.19,560
G. Scale=1.0 *,28.7,-24.7,4388.52,655
H1. DD_reduce=-25.0,28.7,-24.7,4388.52,655
H1. DD_reduce=-30.0,28.7,-24.7,4388.52,655
H1. DD_reduce=-35.0,28.7,-24.7,4388.52,655
H1. DD_reduce=-40.0 *,28.7,-24.7,4388.52,655
H2. DD_halt=-30.0,28.7,-24.7,4388.52,655
H2. DD_halt=-35.0,28.7,-24.7,4388.52,655
H2. DD_halt=-40.0,28.7,-24.7,4388.52,655
H2. DD_halt=-45.0,28.7,-24.7,4388.52,655
H2. DD_halt=-50.0 *,28.7,-24.7,4388.52,655
I. Max_SQQQ=40.0,28.0,-27.8,4030.35,648
I. Max_SQQQ=50.0,28.3,-27.1,4194.68,651
I. Max_SQQQ=60.0,28.6,-25.7,4302.15,655
I. Max_SQQQ=70.0,28.7,-24.7,4388.52,655
I. Max_SQQQ=80.0 *,28.7,-24.7,4388.52,655
